Word,Freq,Rank
the,502,1
and,409,2
you,342,3
not,249,4
And,218,5
that,200,6
Caesar,189,7
him,165,8
Brutus,161,9
Bru,153,10
his,150,11
this,141,12
your,137,13
with,131,14
will,129,15
haue,128,16
for,118,17
Cassi,107,18
shall,107,19
thou,100,20
are,96,21
all,90,22
That,89,23
Cassius,85,24
then,79,25
our,79,26
The,76,27
Antony,75,28
But,73,29
What,70,30
but,68,31
know,66,32
did,66,33
was,64,34
Enter,63,35
men,62,36
them,60,37
what,59,38
man,58,39
For,58,40
their,57,41
thee,55,42
come,50,43
good,49,44
You,49,45
Ant,48,46
from,46,47
thy,46,48
day,44,49
they,44,50
Lord,44,51
well,43,52
let,42,53
heere,41,54
would,40,55
Noble,39,56
now,39,57
selfe,39,58
Caes,39,59
Cask,38,60
when,38,61
Caesars,38,62
should,38,63
Rome,38,64
Brut,37,65
Why,36,66
some,36,67
vpon,36,68
may,35,69
heare,34,70
Will,34,71
there,34,72
were,34,73
say,33,74
see,33,75
tell,33,76
like,33,77
Caska,33,78
these,32,79
one,32,80
more,32,81
such,30,82
too,30,83
must,30,84
Let,29,85
When,29,86
doth,29,87
hath,29,88
Luc,28,89
Then,28,90
feare,28,91
much,28,92
out,27,93
speake,27,94
euery,27,95
yet,27,96
death,26,97
loue,26,98
Lucius,26,99
any,26,100
hand,26,101
Cinna,26,102
This,25,103
Messala,25,104
Gods,25,105
great,25,106
Which,24,107
Now,24,108
Come,24,109
time,24,110
downe,23,111
make,23,112
Titinius,23,113
Octauius,23,114
Friends,23,115
done,23,116
which,23,117
night,23,118
had,23,119
Who,22,120
giue,22,121
Good,22,122
Exeunt,22,123
They,21,124
Cas,21,125
stand,21,126
take,21,127
How,21,128
mine,20,129
word,20,130
Haue,20,131
beare,20,132
wrong,20,133
There,20,134
With,19,135
looke,19,136
Where,19,137
off,19,138
All,19,139
most,19,140
forth,19,141
Night,19,142
hee,19,143
blood,19,144
Messa,19,145
till,19,146
thinke,19,147
leaue,18,148
true,18,149
thing,18,150
Romans,18,151
fire,18,152
Heere,18,153
againe,18,154
art,18,155
Octa,18,156
heart,18,157
Shall,18,158
place,18,159
could,18,160
Friend,17,161
Capitoll,17,162
Sir,17,163
Decius,17,164
finde,17,165
Por,16,166
Did,16,167
about,16,168
euer,16,169
can,16,170
made,16,171
liue,16,172
things,16,173
Yet,15,174
stay,15,175
dead,15,176
put,15,177
part,15,178
Thou,15,179
morrow,15,180
many,15,181
where,14,182
Lucillius,14,183
Our,14,184
nor,14,185
Marke,14,186
shew,14,187
way,14,188
Mark,14,189
away,14,190
hast,14,191
dye,14,192
hands,14,193
World,14,194
Roman,14,195
once,14,196
cause,14,197
Stand,14,198
how,14,199
name,14,200
thus,13,201
Boy,13,202
comes,13,203
better,13,204
Sword,13,205
other,13,206
Portia,13,207
Caius,13,208
follow,13,209
eyes,13,210
Metellus,13,211
Ile,13,212
himselfe,13,213
Are,13,214
Giue,13,215
best,12,216
Peace,12,217
Your,12,218
bad,12,219
Pindarus,12,220
very,12,221
Cato,12,222
else,12,223
Spirit,12,224
Exit,12,225
March,12,226
tis,12,227
bid,12,228
fell,12,229
neuer,12,230
Vpon,12,231
house,12,232
Brother,12,233
home,12,234
might,12,235
first,11,236
Honor,11,237
backe,11,238
Cicero,11,239
doe,11,240
Tis,11,241
still,11,242
Master,11,243
Publius,11,244
words,11,245
her,11,246
Philippi,11,247
Crowne,11,248
face,11,249
Sooth,11,250
Honourable,11,251
answer,11,252
Trebonius,11,253
Ser,11,254
body,11,255
fall,11,256
owne,11,257
sicke,11,258
before,10,259
beares,10,260
mighty,10,261
Nor,10,262
